City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
3,Caravelas,BR,75.92,overcast clouds,-17.7125,-39.2481,Pousada dos Navegantes
6,Rikitea,PF,78.24,overcast clouds,-23.1203,-134.9692,People ThankYou
10,Hilo,US,80.33,broken clouds,19.7297,-155.09,Hilo Hawaiian Hotel
15,Kahului,US,79.97,clear sky,20.8947,-156.47,Maui Seaside Hotel
18,Mahebourg,MU,76.24,broken clouds,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
24,Bredasdorp,ZA,70.92,overcast clouds,-34.5322,20.0403,Bredasdorp Country Manor
28,Contamana,PE,85.3,broken clouds,-7.3333,-75.0167,Shiringal Touristic Park
32,Butaritari,KI,81.48,overcast clouds,3.0707,172.7902,Isles Sunset Lodge
33,Savannah Bight,HN,80.65,clear sky,16.45,-85.85,Villa on Dunbar Rock
34,Bengkulu,ID,76.01,light rain,-3.8004,102.2655,Grage Hotel Bengkulu
35,Carupano,VE,74.61,scattered clouds,10.6678,-63.2585,Hotel La dorada
37,Hualmay,PE,72.03,clear sky,-11.0964,-77.6139,Hotel Villa Kitzia Huacho
41,Abapo,BO,71.98,broken clouds,-18.8333,-63.4667,
45,Kapaa,US,77.18,clear sky,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
46,Merauke,ID,81.3,overcast clouds,-8.4667,140.3333,
49,Calamar,CO,79.65,broken clouds,10.2511,-74.9146,Hostal Katyalex
50,Berbera,SO,73.18,clear sky,10.4396,45.0143,IBCO REAL ESTATE PROPERTY
52,Miandrivazo,MG,79.07,overcast clouds,-19.5167,45.4667,Hôtel Arc En Ciel Miandrivazo
53,Beruwala,LK,75.36,overcast clouds,6.4788,79.9828,The Palms Hotel
56,Vaini,TO,78.96,light intensity shower rain,-21.2,-175.2,Keleti Beach Resort
59,Galle,LK,75.11,overcast clouds,6.0367,80.217,Amangalla
63,Cockburn Town,TC,78.1,clear sky,21.4612,-71.1419,Osprey Beach Hotel
65,Puerto Ayora,EC,73.04,overcast clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
66,Atuona,PF,79.03,scattered clouds,-9.8,-139.0333,Villa Enata
68,Dhidhdhoo,MV,80.26,overcast clouds,6.8833,73.1,Dhidhoo beach
73,Sena Madureira,BR,74.98,overcast clouds,-9.0656,-68.6569,Hotel Central
74,Dingle,PH,77.9,broken clouds,10.9995,122.6711,SEGAYA PROPERTY
77,Grand Gaube,MU,76.37,broken clouds,-20.0064,57.6608,Veranda Paul et Virginie Hotel & Spa
80,Ballina,AU,82.58,few clouds,-28.8667,153.5667,Ramada Hotel & Suites by Wyndham Ballina Byron
81,Bien Hoa,VN,76.98,clear sky,10.95,106.8167,OYO 991 Duy Anh Hotel
82,San Pedro De Lloc,PE,73.42,overcast clouds,-7.4328,-79.5058,La Posada Del Valle
83,Yuli,NG,73.15,scattered clouds,9.6989,10.2744,
87,Souillac,MU,76.35,light rain,-20.5167,57.5167,Shanti Maurice Resort & Spa
89,Black River,JM,80.6,broken clouds,18.0264,-77.8487,Idlers' Rest Beach Hotel
90,Bathsheba,BB,77.61,scattered clouds,13.2167,-59.5167,Atlantis Hotel
92,Sorong,ID,82.0,broken clouds,-0.8833,131.25,Waigo Splash Hotel
93,East London,ZA,72.07,broken clouds,-33.0153,27.9116,Tu Casa
97,Praya,CV,74.17,overcast clouds,14.9215,-23.5087,LT Aparthotel
102,San Patricio,US,73.06,overcast clouds,28.017,-97.5169,"Motel 6 Sinton, TX"
105,Hithadhoo,MV,81.45,scattered clouds,-0.6,73.0833,Scoop Guest House
106,Nueva Helvecia,UY,80.6,clear sky,-34.3,-57.2333,La Posada de Ofelia
111,Kavieng,PG,83.53,overcast clouds,-2.5744,150.7967,Nusa Island Retreat
112,Kavaratti,IN,79.83,few clouds,10.5669,72.642,Hotels in Lakshadweep Islands
115,Santana Do Livramento,BR,74.95,clear sky,-30.8908,-55.5328,Hotel Emirates
120,Port Alfred,ZA,72.12,broken clouds,-33.5906,26.891,The Halyards Hotel
121,Geraldton,AU,73.13,clear sky,-28.7667,114.6,Broadwater Mariner Resort
124,Bambous Virieux,MU,76.21,overcast clouds,-20.3428,57.7575,Casa Tia Villa
125,Cayenne,GF,80.1,clear sky,4.9333,-52.3333,Hôtel Le Dronmi
127,Georgetown,MY,80.53,few clouds,5.4112,100.3354,Cititel Penang
