,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Punta Arenas,CL,-53.15,-70.9167,51.91,54,75,23.02,broken clouds
1,Yellowknife,CA,62.456,-114.3525,-25.58,88,75,3.44,broken clouds
2,Shingu,JP,33.7333,135.9833,43.92,62,30,4.41,scattered clouds
3,Caravelas,BR,-17.7125,-39.2481,75.92,90,93,7.76,overcast clouds
4,Krasnyy Yar,RU,46.5331,48.3456,31.96,92,83,15.77,broken clouds
5,Hohhot,CN,40.8106,111.6522,12.49,57,0,13.42,clear sky
6,Rikitea,PF,-23.1203,-134.9692,78.24,79,100,19.19,overcast clouds
7,Banepa,NP,27.6298,85.5214,46.72,100,75,2.3,mist
8,Victoria,HK,22.2855,114.1577,64.33,83,57,1.99,broken clouds
9,Albany,US,42.6001,-73.9662,38.73,91,100,1.99,overcast clouds
10,Hilo,US,19.7297,-155.09,80.33,71,75,6.91,broken clouds
11,Qinggang,CN,46.6833,126.0833,-1.73,98,100,4.61,overcast clouds
12,Ushuaia,AR,-54.8,-68.3,44.26,70,75,8.05,broken clouds
13,Tazlar,HU,46.5482,19.5144,28.78,96,100,5.57,overcast clouds
14,Hvolsvollur,IS,63.7533,-20.2243,40.8,85,100,32.28,heavy intensity rain
15,Kahului,US,20.8947,-156.47,79.97,66,0,5.01,clear sky
16,Hermanus,ZA,-34.4187,19.2345,66.9,86,100,4.94,light rain
17,Williams Lake,CA,52.1415,-122.1445,33.37,78,75,7.0,moderate rain
18,Mahebourg,MU,-20.4081,57.7,76.24,100,75,3.44,broken clouds
19,Nome,US,64.5011,-165.4064,5.11,61,0,25.81,clear sky
20,Bluff,NZ,-46.6,168.3333,68.81,84,91,8.12,overcast clouds
21,Nikolskoye,RU,59.7035,30.7861,24.69,100,95,2.37,overcast clouds
22,Jamestown,US,42.097,-79.2353,36.72,10,100,19.46,overcast clouds
23,Kirkwall,GB,58.9848,-2.9587,41.34,93,40,6.91,scattered clouds
24,Bredasdorp,ZA,-34.5322,20.0403,70.92,78,100,12.66,overcast clouds
25,Arraial Do Cabo,BR,-22.9661,-42.0278,69.66,94,100,2.3,overcast clouds
26,Busselton,AU,-33.65,115.3333,66.04,58,80,12.8,broken clouds
27,Hobart,AU,-42.8794,147.3294,69.12,88,100,12.66,light intensity drizzle
28,Contamana,PE,-7.3333,-75.0167,85.3,56,82,5.68,broken clouds
29,Gornopravdinsk,RU,60.05,69.9,3.47,90,54,9.55,broken clouds
30,Marawi,PH,7.9986,124.2928,67.64,87,70,0.6,broken clouds
31,Kruisfontein,ZA,-34.0033,24.7314,65.88,77,96,13.89,overcast clouds
32,Butaritari,KI,3.0707,172.7902,81.48,77,99,15.57,overcast clouds
33,Savannah Bight,HN,16.45,-85.85,80.65,75,2,21.23,clear sky
34,Bengkulu,ID,-3.8004,102.2655,76.01,89,96,3.4,light rain
35,Carupano,VE,10.6678,-63.2585,74.61,85,38,10.87,scattered clouds
36,Usoke,TZ,-5.1667,32.35,66.36,89,96,3.27,light rain
37,Hualmay,PE,-11.0964,-77.6139,72.03,77,7,10.78,clear sky
38,Micula,RO,47.9,22.95,29.08,95,100,3.33,overcast clouds
39,Mataura,NZ,-46.1927,168.8643,68.49,51,68,1.45,broken clouds
40,Port Elizabeth,ZA,-33.918,25.5701,69.1,94,75,16.11,broken clouds
41,Abapo,BO,-18.8333,-63.4667,71.98,78,70,2.73,broken clouds
42,Narsaq,GL,60.9167,-46.05,14.77,89,100,2.82,overcast clouds
43,Palana,RU,59.1167,159.9667,13.17,82,33,7.25,scattered clouds
44,Fallon,US,39.4735,-118.7774,46.92,48,0,1.41,clear sky
45,Kapaa,US,22.0752,-159.319,77.18,69,0,4.81,clear sky
46,Merauke,ID,-8.4667,140.3333,81.3,80,100,10.92,overcast clouds
47,Port Augusta,AU,-32.5,137.7667,95.7,17,51,10.02,broken clouds
48,Ilulissat,GL,69.2167,-51.1,15.82,86,100,10.36,overcast clouds
49,Calamar,CO,10.2511,-74.9146,79.65,64,81,7.63,broken clouds
50,Berbera,SO,10.4396,45.0143,73.18,76,4,6.17,clear sky
