City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Ponta Do Sol,PT,2022-01-03 19:44:26,32.6667,-17.1,67.12,21,38,0.78
1,Marzuq,YE,2022-01-03 19:44:26,14.4,46.4667,66.52,76,31,5.59
2,Karratha,AU,2022-01-03 19:44:26,-20.7377,116.8463,84.22,45,61,12.91
3,Khatanga,RU,2022-01-03 19:44:26,71.9667,102.5,-56.04,99,53,4.0
4,Iqaluit,CA,2022-01-03 19:44:27,63.7506,-68.5145,8.33,84,90,18.99
5,Hermanus,ZA,2022-01-03 19:43:37,-34.4187,19.2345,65.8,74,100,8.25
6,Codrington,AU,2022-01-03 19:44:27,-38.2667,141.9667,59.16,61,100,15.3
7,Newark,US,2022-01-03 19:44:27,40.7357,-74.1724,31.96,48,90,5.01
8,Lebu,CL,2022-01-03 19:44:27,-37.6167,-73.65,62.13,94,83,9.6
9,Cabo San Lucas,MX,2022-01-03 19:44:28,22.8909,-109.9124,78.62,70,20,5.99
10,Mahebourg,MU,2022-01-03 19:44:28,-20.4081,57.7,79.09,78,40,9.22
11,Ushuaia,AR,2022-01-03 19:42:09,-54.8,-68.3,49.62,43,75,27.63
12,Busselton,AU,2022-01-03 19:44:28,-33.65,115.3333,57.99,87,37,12.77
13,Kapaa,US,2022-01-03 19:44:29,22.0752,-159.319,71.58,88,90,9.22
14,Sri Aman,MY,2022-01-03 19:44:29,1.2376,111.4621,75.25,100,100,0.0
15,Arroyo,ES,2022-01-03 19:44:29,41.6096,-4.7969,53.15,81,0,10.36
16,Nikolskoye,RU,2022-01-03 19:44:29,59.7035,30.7861,21.4,94,100,7.25
17,Yar-Sale,RU,2022-01-03 19:44:30,66.8333,70.8333,-3.3,97,100,17.16
18,Shache,CN,2022-01-03 19:44:30,38.4167,77.2406,24.06,47,100,2.21
19,Punta Arenas,CL,2022-01-03 19:40:38,-53.15,-70.9167,51.82,46,75,10.36
20,Enterprise,US,2022-01-03 19:42:37,36.0252,-115.2419,49.59,26,40,3.0
21,Mount Gambier,AU,2022-01-03 19:44:30,-37.8333,140.7667,57.11,62,75,10.36
22,Chuy,UY,2022-01-03 19:44:30,-33.6971,-53.4616,86.13,50,1,15.9
